,idx,year,word,pinyin
0,0,1949,中华人民共和国中央人民政府,zhonghuarenmingongheguozhongyangrenminzhengfu
1,0,1949,成立,chengli
2,0,1949,此前,ciqian
3,0,1949,中国人民政治协商会议,zhongguorenminzhengzhixieshanghuiyi
4,0,1949,第一届,diyijie
5,0,1949,全体会议,quantihuiyi
6,0,1949,日至,rizhi
7,0,1949,召开,zhaokai
8,0,1949,会议,huiyi
9,0,1949,代行,daixing
10,0,1949,全国人民代表大会,quanguorenmindaibiaodahui
11,0,1949,职权,zhiquan
12,0,1949,通过,tongguo
13,0,1949,临时,linshi
14,0,1949,宪法,xianfa
15,0,1949,作用,zuoyong
16,0,1949,中国人民政治协商会议,zhongguorenminzhengzhixieshanghuiyi
17,0,1949,共同纲领,gongtonggangling
18,0,1949,通过,tongguo
19,0,1949,中国人民政治协商会议,zhongguorenminzhengzhixieshanghuiyi
20,0,1949,组织法,zuzhifa
21,0,1949,中华人民共和国中央人民政府,zhonghuarenmingongheguozhongyangrenminzhengfu
22,0,1949,组织法,zuzhifa
23,0,1949,会议,huiyi
24,0,1949,决定,jueding
25,0,1949,国都,guodu
26,0,1949,定于,dingyu
27,0,1949,北平,beiping
28,0,1949,北平,beiping
29,0,1949,改名,gaiming
30,0,1949,北京,beijing
31,0,1949,纪年,jinian
32,0,1949,采用,caiyong
33,0,1949,公元,gongyuan
34,0,1949,中华人民共和国,zhonghuarenmingongheguo
35,0,1949,国歌,guoge
36,0,1949,正式,zhengshi
37,0,1949,制定,zhiding
38,0,1949,义勇军,yiyongjun
39,0,1949,进行曲,jinxingqu
40,0,1949,国歌,guoge
41,0,1949,国旗,guoqi
42,0,1949,为红地,weihongdi
43,0,1949,五星旗,wuxingqi
44,0,1949,会议,huiyi
45,0,1949,选举,xuanju
46,0,1949,中央人民政府,zhongyangrenminzhengfu
47,0,1949,委员会,weiyuanhui
48,0,1949,毛泽东,maozedong
49,0,1949,当选,dangxuan
50,0,1949,中央人民政府,zhongyangrenminzhengfu
51,0,1949,主席,zhuxi
52,0,1949,朱德,zhude
53,0,1949,刘少奇,liushaoqi
54,0,1949,宋庆龄,songqingling
55,0,1949,李济深,lijishen
56,0,1949,张澜,zhanglan
57,0,1949,高岗,gaogang
58,0,1949,当选,dangxuan
59,0,1949,主席,zhuxi
60,0,1949,陈毅,chenyi
61,0,1949,当选,dangxuan
62,0,1949,委员,weiyuan
63,0,1949,下午,xiawu
64,0,1949,中央人民政府,zhongyangrenminzhengfu
65,0,1949,委员会,weiyuanhui
66,0,1949,举行,juxing
67,0,1949,第一次,diyici
68,0,1949,会议,huiyi
69,0,1949,一致,yizhi
70,0,1949,决议,jueyi
71,0,1949,接受,jieshou
72,0,1949,共同纲领,gongtonggangling
73,0,1949,政府,zhengfu
74,0,1949,施政,shizheng
75,0,1949,方针,fangzhen
76,0,1949,选举,xuanju
77,0,1949,林伯渠,linboqu
78,0,1949,中央人民政府,zhongyangrenminzhengfu
79,0,1949,委员会,weiyuanhui
80,0,1949,秘书长,mishuchang
81,0,1949,任命,renming
82,0,1949,周恩来,zhouenlai
83,0,1949,中央人民政府政务院,zhongyangrenminzhengfuzhengwuyuan
84,0,1949,总理,zongli
85,0,1949,外交部长,waijiaobuchang
86,0,1949,毛泽东,maozedong
87,0,1949,人民,renmin
88,0,1949,革命,geming
89,0,1949,军事,junshi
90,0,1949,委员会,weiyuanhui
91,0,1949,主席,zhuxi
92,0,1949,朱德,zhude
93,0,1949,人民解放军,renminjiefangjun
94,0,1949,总司令,zongsiling
95,0,1949,沈钧儒,shenjunru
96,0,1949,最高人民法院,zuigaorenminfayuan
97,0,1949,院长,yuanchang
98,0,1949,罗荣桓,luoronghuan
99,0,1949,最高,zuigao
100,0,1949,人民,renmin
101,0,1949,检察署,jianchashu
102,0,1949,检察长,jianchachang
103,0,1949,下午,xiawu
104,0,1949,首都,shoudu
105,0,1949,军民,junmin
106,0,1949,齐集,qiji
107,0,1949,天安门广场,tiananmenguangchang
108,0,1949,举行,juxing
109,0,1949,隆重,longzhong
110,0,1949,开国大典,kaiguodadian
111,0,1949,毛泽东,maozedong
112,0,1949,宣读,xuandu
113,0,1949,中央人民政府,zhongyangrenminzhengfu
114,0,1949,公告,gonggao
115,0,1949,宣告,xuangao
116,0,1949,中央人民政府,zhongyangrenminzhengfu
117,0,1949,成立,chengli
118,0,1949,中央人民政府,zhongyangrenminzhengfu
119,0,1949,委员会,weiyuanhui
120,0,1949,第四次,disici
121,0,1949,会议,huiyi
122,0,1949,决定,jueding
123,0,1949,日为,riwei
124,0,1949,中华人民共和国,zhonghuarenmingongheguo
125,0,1949,宣告成立,xuangaochengli
126,0,1949,日子,rizi
127,0,1949,每年,meinian
128,0,1949,日为,riwei
129,0,1949,中华人民共和国,zhonghuarenmingongheguo
130,0,1949,国庆日,guoqingri
131,1,1949,苏联政府,sulianzhengfu
132,1,1949,决定,jueding
133,1,1949,同新,tongxin
134,1,1949,中国,zhongguo
135,1,1949,建立,jianli
136,1,1949,外交关系,waijiaoguanxi
137,1,1949,周恩来,zhouenlai
138,1,1949,复电,fudian
139,1,1949,表示,biaoshi
140,1,1949,热忱,rechen
141,1,1949,欢迎,huanying
142,1,1949,互派大使,hupaidashi
143,1,1949,中国,zhongguo
144,1,1949,先后,xianhou
145,1,1949,保加利亚,baojialiya
146,1,1949,罗马尼亚,luomaniya
147,1,1949,匈牙利,xiongyali
148,1,1949,朝鲜民主主义人民共和国,zhaoxianminzhuzhuyirenmingongheguo
149,1,1949,捷克斯洛伐克,jiekesiluofake
150,1,1949,波兰,bolan
151,1,1949,蒙古,menggu
152,1,1949,德意志民主共和国,deyizhiminzhugongheguo
153,1,1949,阿尔巴尼亚,aerbaniya
154,1,1949,越南民主共和国,yuenanminzhugongheguo
155,1,1949,建立,jianli
156,1,1949,外交关系,waijiaoguanxi
157,1,1949,年底,niandi
158,1,1949,中国,zhongguo
159,1,1949,印度,yindu
160,1,1949,缅甸,miandian
161,1,1949,巴基斯坦,bajisitan
162,1,1949,印度尼西亚,yindunixiya
163,1,1949,瑞典,ruidian
164,1,1949,丹麦,danmai
165,1,1949,瑞士,ruishi
166,1,1949,列支敦士登,liezhidunshideng
167,1,1949,芬兰,fenlan
168,1,1949,建立,jianli
169,1,1949,外交关系,waijiaoguanxi
170,2,1949,中国人民政治协商会议,zhongguorenminzhengzhixieshanghuiyi
171,2,1949,第一届,diyijie
172,2,1949,全国,quanguo
173,2,1949,委员会,weiyuanhui
174,2,1949,第一次,diyici
175,2,1949,会议,huiyi
176,2,1949,召开,zhaokai
177,2,1949,选举,xuanju
178,2,1949,毛泽东,maozedong
179,2,1949,政协,zhengxie
180,2,1949,第一届,diyijie
181,2,1949,全国,quanguo
182,2,1949,委员会,weiyuanhui
183,2,1949,主席,zhuxi
184,2,1949,周恩来,zhouenlai
185,2,1949,李济深,lijishen
186,2,1949,沈钧儒,shenjunru
187,2,1949,郭沫若,guomoruo
188,2,1949,陈叔通,chenshutong
189,2,1949,主席,zhuxi
190,3,1949,中国新民主主义青年团,zhongguoxinminzhuzhuyiqingniantuan
191,3,1949,中央,zhongyang
192,3,1949,召开,zhaokai
193,3,1949,常委,changwei
194,3,1949,扩大,kuoda
195,3,1949,会议,huiyi
196,3,1949,通过,tongguo
197,3,1949,建立,jianli
198,3,1949,中国,zhongguo
199,3,1949,少年儿童,shaonianertong
200,3,1949,决议,jueyi
201,3,1949,中国,zhongguo
202,3,1949,少年儿童,shaonianertong
203,3,1949,改名,gaiming
204,3,1949,中国少年先锋队,zhongguoshaonianxianfengdui
